drink_id,ingredient_name,quantity,is_allergen
1,Tequila,1 1/2 oz,f
1,Triple sec,1/2 oz,f
1,Lime juice,1 oz,f
1,Salt,,f
2,Tequila,1 1/2 oz,f
2,Blue Curacao,1 oz,f
2,Lime juice,1 oz,f
2,Salt,Coarse,f
3,Tequila,4.5 cl,f
3,Lime Juice,1.5 cl,f
3,Agave syrup,2 spoons,f
4,Ice,1 cup,f
4,Tequila,2 oz,f
4,Cream of coconut,1/4 cup,f
4,Lime juice,3 tblsp fresh,f
5,Strawberry schnapps,1/2 oz,f
5,Tequila,1 oz,f
5,Triple sec,1/2 oz,f
5,Lemon juice,1 oz,f
5,Strawberries,1 oz,f
5,Salt,,f
397,Gin,6 cl,f
397,Vodka,1.5 cl,f
397,Lillet Blanc,0.75 cl,f
398,Gin,1 1/2 oz,f
398,Sweet Vermouth,1/2 oz,f
398,Brandy,1/2 oz,f
7,Tequila,1 1/2 oz,f
7,Triple sec,1/2 oz,f
7,Lime juice,1 oz,f
7,Salt,,f
8,Tequila,1 1/2 oz,f
8,Blue Curacao,1 oz,f
8,Lime juice,1 oz,f
8,Salt,Coarse,f
9,Tequila,4.5 cl,f
9,Lime Juice,1.5 cl,f
9,Agave syrup,2 spoons,f
10,Ice,1 cup,f
10,Tequila,2 oz,f
10,Cream of coconut,1/4 cup,f
10,Lime juice,3 tblsp fresh,f
11,Strawberry schnapps,1/2 oz,f
11,Tequila,1 oz,f
11,Triple sec,1/2 oz,f
11,Lemon juice,1 oz,f
11,Strawberries,1 oz,f
11,Salt,,f
12,Watermelon,1/2 cup,f
12,Mint,5,f
12,Grapefruit Juice,1/3 Cup,f
12,Lime,Juice of 1/2,f
12,Tequila,1 shot,f
13,Gin,1 3/4 shot,f
13,Grand Marnier,1 Shot,f
13,Lemon Juice,1/4 Shot,f
13,Grenadine,1/8 Shot,f
14,Amaretto,1/3,f
14,Baileys irish cream,1/3,f
14,Cognac,1/3,f
15,Gin,2 shots,f
15,Grenadine,1/2 shot,f
15,Heavy cream,1/2 shot,f
15,Milk,1/2 shot,f
15,Egg White,1/2 Fresh,f
16,151 proof rum,1 oz Bacardi,f
16,Wild Turkey,1 oz,f
17,Absolut Vodka,1 oz,f
17,Gin,1 oz,f
17,Tonic water,4 oz,f
18,Dark rum,2 oz,f
18,Lemon juice,1 oz,f
18,Grenadine,1 tsp,f
19,Applejack,1 1/2 oz,f
19,Grapefruit juice,1 oz,f
20,Strawberry schnapps,2 oz,f
20,Orange juice,2 oz,f
20,Cranberry juice,2 oz,f
20,Club soda,,f
21,Vodka,3 parts,f
21,Pisang Ambon,1 part,f
21,Apple juice,6 parts,f
